municipio_id,Municipio,Capital,UF
1505809,Portel,Falso,PA
1507706,São Sebastião da Boa Vista,Falso,PA
1500701,Anajás,Falso,PA
1501808,Breves,Falso,PA
1500305,Afuá,Falso,PA
1502806,Curralinho,Falso,PA
1502509,Chaves,Falso,PA
1505700,Ponta de Pedras,Falso,PA
1507904,Soure,Falso,PA
1506302,Salvaterra,Falso,PA
1506401,Santa Cruz do Arari,Falso,PA
1502004,Cachoeira do Arari,Falso,PA
1504901,Muaná,Falso,PA
1500800,Ananindeua,Falso,PA
1504422,Marituba,Falso,PA
1501303,Barcarena,Falso,PA
1506351,Santa Bárbara do Pará,Falso,PA
1501501,Benevides,Falso,PA
1501402,Belém,Verdadeiro,PA
1506500,Santa Isabel do Pará,Falso,PA
1501907,Bujaru,Falso,PA
1507003,Santo Antônio do Tauá,Falso,PA
1502400,Castanhal,Falso,PA
1503408,Inhangapi,Falso,PA
1507102,São Caetano de Odivelas,Falso,PA
1502608,Colares,Falso,PA
1508209,Vigia,Falso,PA
1504406,Marapanim,Falso,PA
1502905,Curuçá,Falso,PA
1507466,São João da Ponta,Falso,PA
1504307,Maracanã,Falso,PA
1504109,Magalhães Barata,Falso,PA
1507961,Terra Alta,Falso,PA
1507474,São João de Pirabas,Falso,PA
1506203,Salinópolis,Falso,PA
1503200,Igarapé-Açu,Falso,PA
1506609,Santa Maria do Pará,Falso,PA
1507409,São Francisco do Pará,Falso,PA
1501709,Bragança,Falso,PA
1500909,Augusto Corrêa,Falso,PA
1508035,Tracuateua,Falso,PA
1506112,Quatipuru,Falso,PA
1502202,Capanema,Falso,PA
1506906,Santarém Novo,Falso,PA
1506104,Primavera,Falso,PA
1501600,Bonito,Falso,PA
1505601,Peixe-Boi,Falso,PA
1505007,Nova Timboteua,Falso,PA
1504604,Mocajuba,Falso,PA
1505205,Oeiras do Pará,Falso,PA
1504000,Limoeiro do Ajuru,Falso,PA
1502103,Cametá,Falso,PA
1503309,Igarapé-Miri,Falso,PA
1500107,Abaetetuba,Falso,PA
1501204,Baião,Falso,PA
1502756,Concórdia do Pará,Falso,PA
1508001,Tomé-Açu,Falso,PA
1500206,Acará,Falso,PA
1504703,Moju,Falso,PA
1507953,Tailândia,Falso,PA
1507201,São Domingos do Capim,Falso,PA
1503507,Irituia,Falso,PA
1507607,São Miguel do Guamá,Falso,PA
1508308,Viseu,Falso,PA
1506559,Santa Luzia do Pará,Falso,PA
1501956,Cachoeira do Piriá,Falso,PA
1503457,Ipixuna do Pará,Falso,PA
1500958,Aurora do Pará,Falso,PA
1504059,Mãe do Rio,Falso,PA
1503077,Garrafão do Norte,Falso,PA
1502301,Capitão Poço,Falso,PA
1505403,Ourém,Falso,PA
1504950,Nova Esperança do Piriá,Falso,PA
1506195,Rurópolis,Falso,PA
1501006,Aveiro,Falso,PA
1503606,Itaituba,Falso,PA
1508050,Trairão,Falso,PA
1503754,Jacareacanga,Falso,PA
1505031,Novo Progresso,Falso,PA
1505486,Pacajá,Falso,PA
1500859,Anapu,Falso,PA
1508357,Vitória do Xingu,Falso,PA
1501725,Brasil Novo,Falso,PA
1507805,Senador José Porfírio,Falso,PA
1504455,Medicilândia,Falso,PA
1508159,Uruará,Falso,PA
1500602,Altamira,Falso,PA
1504976,Nova Ipixuna,Falso,PA
1503804,Jacundá,Falso,PA
1503705,Itupiranga,Falso,PA
1505064,Novo Repartimento,Falso,PA
1508100,Tucuruí,Falso,PA
1501782,Breu Branco,Falso,PA
1508126,Ulianópolis,Falso,PA
1505502,Paragominas,Falso,PA
1502939,Dom Eliseu,Falso,PA
1500131,Abel Figueiredo,Falso,PA
1501576,Bom Jesus do Tocantins,Falso,PA
1506187,Rondon do Pará,Falso,PA
1503093,Goianésia do Pará,Falso,PA
1502764,Cumaru do Norte,Falso,PA
1501253,Bannach,Falso,PA
1507300,São Félix do Xingu,Falso,PA
1505437,Ourilândia do Norte,Falso,PA
1508084,Tucumã,Falso,PA
1502152,Canaã dos Carajás,Falso,PA
1505536,Parauapebas,Falso,PA
1502772,Curionópolis,Falso,PA
1502954,Eldorado do Carajás,Falso,PA
1500347,Água Azul do Norte,Falso,PA
1507508,São João do Araguaia,Falso,PA
1505494,Palestina do Pará,Falso,PA
1504208,Marabá,Falso,PA
1501758,Brejo Grande do Araguaia,Falso,PA
1507151,São Domingos do Araguaia,Falso,PA
1507458,São Geraldo do Araguaia,Falso,PA
1505635,Piçarra,Falso,PA
1506138,Redenção,Falso,PA
1505551,Pau D'Arco,Falso,PA
1508407,Xinguara,Falso,PA
1507755,Sapucaia,Falso,PA
1506161,Rio Maria,Falso,PA
1503044,Floresta do Araguaia,Falso,PA
1502707,Conceição do Araguaia,Falso,PA
1506708,Santana do Araguaia,Falso,PA
1506583,Santa Maria das Barreiras,Falso,PA
1600204,Calçoene,Falso,PA
1600501,Oiapoque,Falso,AP
1600105,Amapá,Falso,AP
1600709,Tartarugalzinho,Falso,AP
1600550,Pracuúba,Falso,AP
1600253,Itaubal,Falso,AP
1600600,Santana,Falso,AP
1600303,Macapá,Verdadeiro,AP
1600212,Cutias,Falso,AP
1600055,Serra do Navio,Falso,AP
1600154,Pedra Branca do Amapari,Falso,AP
1600535,Porto Grande,Falso,AP
1600238,Ferreira Gomes,Falso,AP
1600402,Mazagão,Falso,AP
1600279,Laranjal do Jari,Falso,AP
1600808,Vitória do Jari,Falso,AP
1701002,Ananás,Falso,AP
1718550,Riachinho,Falso,TO
1701051,Angico,Falso,TO
1706506,Darcinópolis,Falso,TO
1712454,Luzinópolis,Falso,TO
1712801,Maurilândia do Tocantins,Falso,TO
1714302,Nazaré,Falso,TO
1700301,Aguiarnópolis,Falso,TO
1713809,Palmeiras do Tocantins,Falso,TO
1721208,Tocantinópolis,Falso,TO
1703826,Cachoeirinha,Falso,TO
1720002,Santa Terezinha do Tocantins,Falso,TO
1702208,Araguatins,Falso,TO
1720200,São Miguel do Tocantins,Falso,TO
1703891,Carrasco Bonito,Falso,TO
1720309,São Sebastião do Tocantins,Falso,TO
1718303,Praia Norte,Falso,TO
1710706,Itaguatins,Falso,TO
1702554,Augustinópolis,Falso,TO
1720804,Sítio Novo do Tocantins,Falso,TO
1702901,Axixá do Tocantins,Falso,TO
1718808,Sampaio,Falso,TO
1707405,Esperantina,Falso,TO
1703800,Buriti do Tocantins,Falso,TO
1720101,São Bento do Tocantins,Falso,TO
1702307,Arapoema,Falso,TO
1703883,Carmolândia,Falso,TO
1718865,Santa Fé do Araguaia,Falso,TO
1722107,Xambioá,Falso,TO
1713957,Muricilândia,Falso,TO
1701309,Aragominas,Falso,TO
1717206,Piraquê,Falso,TO
1722081,Wanderlândia,Falso,TO
1702158,Araguanã,Falso,TO
1707702,Filadélfia,Falso,TO
1703008,Babaçulândia,Falso,TO
1716307,Pau D'Arco,Falso,TO
1702109,Araguaína,Falso,TO
1714880,Nova Olinda,Falso,TO
1715705,Palmeirante,Falso,TO
1703057,Bandeirantes do Tocantins,Falso,TO
1705508,Colinas do Tocantins,Falso,TO
1703909,Caseara,Falso,TO
1713700,Monte Santo do Tocantins,Falso,TO
1712504,Marianópolis do Tocantins,Falso,TO
1703107,Barrolândia,Falso,TO
1707108,Divinópolis do Tocantins,Falso,TO
1701903,Araguacema,Falso,TO
1700251,Abreulândia,Falso,TO
1707207,Dois Irmãos do Tocantins,Falso,TO
1713205,Miracema do Tocantins,Falso,TO
1718709,Rio dos Bois,Falso,TO
